Price,Close,High,Low,Open,Volume
Ticker,DIS,DIS,DIS,DIS,DIS
Date,,,,,
2019-01-28,108.13624572753906,108.31190277708667,107.29699620695645,108.08745665257253,6178800
2019-01-29,108.22408294677734,108.25335788216289,107.3457976586909,107.98011522482578,5253700
2019-01-30,107.47264862060547,107.91179494818348,106.33088157044868,107.63855231518562,7853800
2019-01-31,108.82910919189453,108.8486307774172,107.35554963297908,107.4433744319209,8351600
2019-02-01,108.61443328857422,109.34633645778212,108.2533583781222,109.26826499952698,6557700
2019-02-04,109.10237121582031,109.27802827823702,108.00939311130487,108.72178215480152,7037000
2019-02-05,109.94161224365234,110.01967625230476,108.76080197715184,109.31704805730745,13619800
2019-02-06,108.7217788696289,111.17120943031571,108.38997889717683,111.10289876617911,14229000
2019-02-07,108.27286529541016,108.42900820150165,107.16037314807072,108.37045833436912,8658100
2019-02-08,108.8193588256836,108.84863375946622,107.40434164865974,107.79469147146989,6395500
2019-02-11,106.79930114746094,109.11211014409848,106.61388331571916,109.07307441924215,11086400
2019-02-12,106.56509399414062,108.15576824690778,106.51630491875315,107.55072563873395,7610200
2019-02-13,107.54095458984375,107.81420465623069,106.5943662083182,106.60411955528332,6919700
2019-02-14,107.9898681640625,108.80959607645335,106.89689016890458,107.1994077396245,6324300
2019-02-15,109.873291015625,109.9123267414939,108.35093493325472,108.71200981356455,8197300
2019-02-19,110.77110290527344,111.024823967114,110.1075104256447,110.18558188096662,8169600
2019-02-20,110.93699645996094,111.33709962945235,110.55640743117252,110.85892500654188,7081500
2019-02-21,111.53227996826172,111.77624767994871,110.1465451527525,110.66375551028032,9480100
2019-02-22,112.46910858154297,112.97655811656313,111.20047357603767,111.86406601125066,8734700
2019-02-25,110.84916687011719,113.00584801200948,110.7223063392486,112.83019096025863,9327700
2019-02-26,110.76133728027344,111.25903347960985,110.12701976273542,110.90771939129043,8956000
2019-02-27,110.05870819091797,110.77109715446434,109.74642983114637,110.37098655068957,7249500
2019-02-28,110.11725616455078,110.69302380113501,110.02943136736009,110.17581347464782,6716700
2019-03-01,111.25904083251953,111.67866560767199,110.71254807829291,110.71254807829291,6996900
2019-03-04,111.57131958007812,111.65914438559741,110.36123432736119,111.65914438559741,6015000
2019-03-05,111.24927520751953,111.77624635193895,111.01506829176766,111.47372877553848,5225100
2019-03-06,112.0787582397461,112.27393686405264,111.24926956102715,111.24926956102715,7352800
2019-03-07,111.25904083251953,112.1275653179019,110.73206966521383,112.07876879590354,6324000
2019-03-08,111.06385803222656,111.09313296620812,110.17581943847036,110.72230472693572,6549100
2019-03-11,111.9811782836914,112.22514599237047,111.27855009144712,111.2883108844793,6952700
2019-03-12,111.96165466308594,112.51790069396445,111.28830146164768,111.95189387088021,9920300
2019-03-13,111.33710479736328,112.07876874866284,110.97603733782181,112.06900795520649,17994500
2019-03-14,111.71769714355469,112.00069313555198,111.18096520293156,111.36638304520203,17409600
2019-03-15,112.18610382080078,112.69356079507142,110.93699041537023,111.73720415605563,14932700
2019-03-18,110.39051055908203,111.24927420597679,109.74643223993331,110.30267831315105,21769800
2019-03-19,107.34578704833984,110.96626679080654,107.15061586819145,110.22460290469674,45384400
2019-03-20,107.33602142333984,108.20454579291373,105.44283723616341,107.64829976470008,35588700
2019-03-21,106.03813171386719,107.49217721733581,105.75512826971625,107.44338069598764,27438900
2019-03-22,105.6185073852539,106.36992467814748,104.91587916860836,105.71609298305383,24133800
2019-03-25,105.1891098022461,106.4382231800975,104.73044935515624,105.87221635410138,18187500
2019-03-26,107.48241424560547,107.67758543643484,105.65753308560575,105.78440106041815,16693100
2019-03-27,107.61903381347656,108.40948680234166,107.08230932479546,107.78493006750689,10794800
2019-03-28,108.03865814208984,108.58514342159158,107.57999766309223,107.93131175571578,11748900
2019-03-29,108.35093688964844,108.907182964043,107.72638015507572,108.86814723746926,16358800
2019-04-01,109.79521942138672,110.14653348462461,108.69248071638332,108.89741267905494,10785100
2019-04-02,109.25849914550781,110.57592330000347,109.21946341818821,110.41978783602879,9231800
2019-04-03,109.80498504638672,110.38075272091453,109.50246746461161,109.9806420976473,10534900
2019-04-04,111.9811782836914,112.0885246711345,110.30267925673085,110.50761123858484,14378400
2019-04-05,112.22514343261719,112.35200395792744,111.5517901895244,112.19586849949202,10907900
2019-04-08,112.18610382080078,113.03511407854022,111.87382546944315,112.22513954538339,11054200
2019-04-09,114.04026794433594,114.33303217698946,112.49839021692766,112.8204293837858,17340300
2019-04-10,114.3330307006836,115.1820335628695,113.47425960015065,114.74289466486324,14091100
2019-04-11,113.78653717041016,115.0161364996143,113.51329452954336,114.88927597215574,12784500
2019-04-12,126.92174530029297,127.7414731432287,123.3110265620807,124.82362917812529,65253500
2019-04-15,128.85397338867188,129.4980516879609,126.65826409704651,127.88787083034497,32773700
2019-04-16,126.76560974121094,128.94181232546012,126.4338172461564,128.5709766600424,14564300
2019-04-17,128.57098388671875,129.16626569806144,126.16058170723338,126.67779206406799,14253700
2019-04-18,129.2540740966797,129.66393801287546,127.94641090349232,128.59048915348805,11890600
2019-04-22,128.50267028808594,129.01012731488703,127.86836017254048,128.717363072863,10197500
2019-04-23,130.14210510253906,131.0008760040506,129.44923041780066,130.17138002958117,12159300
2019-04-24,131.8401336669922,132.47444364718248,129.51755670398546,129.89814567022057,11449500
2019-04-25,133.9285125732422,135.52894007313455,131.58641374300026,132.09387072314365,16382500
2019-04-26,136.5438232421875,136.66092295835097,134.1919713385393,135.35325982584297,14167600
2019-04-29,135.9387969970703,138.93471242436576,134.28957306473833,138.75906283873798,25746100
2019-04-30,133.66502380371094,136.02662933758108,132.7477028751402,135.76314005391347,15253100
2019-05-01,133.08926391601562,134.83606608889082,132.95264260020755,134.17248109513918,8906700
2019-05-02,130.90328979492188,132.41589229671467,129.1857627931766,132.11337477447702,16580400
2019-05-03,131.08872985839844,132.0450790986175,130.55199792591583,131.95725429801317,8874400
2019-05-06,131.7425537109375,132.06459285132587,129.10770561483997,129.341905069227,9955600
2019-05-07,130.22018432617188,132.6891359250726,129.5565845287881,132.0841008758794,10972700
2019-05-08,131.73280334472656,132.42566326710784,130.09333267388834,130.27875050654453,15423500
2019-05-09,130.36656188964844,133.1868275878277,129.63465887222537,131.7718180655975,15297100
2019-05-10,130.8057098388672,131.07896735044056,128.06351539162705,129.80056414946472,9858500
2019-05-13,128.17086791992188,129.45902452966104,127.39993653604957,128.32701082242482,11389900
2019-05-14,129.98599243164062,131.41077040466587,128.86374692601245,130.29827824678318,12001700
2019-05-15,131.4302520751953,131.9474772193689,128.8539541532379,129.35165771503026,9734100
2019-05-16,132.23049926757812,133.108777070308,131.55714600320175,132.02555983861723,9689400
2019-05-17,131.78158569335938,132.69890662377196,130.7959615503664,131.02040766399713,8964200
2019-05-20,130.67884826660156,131.15701537689137,130.034770034524,131.01064072896696,8009000
2019-05-21,130.85450744628906,131.3229361352309,129.89815826492693,131.3229361352309,7050300
2019-05-22,130.6203155517578,130.93258647185147,130.17140842152736,130.5910406183305,5093700
2019-05-23,129.52734375,130.3275650562647,128.7661656194894,129.50783705273153,6743300
2019-05-24,129.5858917236328,130.07382717914717,129.02965304746283,129.88842421416274,4570100
2019-05-28,129.41998291015625,130.8057176826162,129.39070797691187,129.99575800871213,8938400
2019-05-29,128.39532470703125,128.96131665144347,127.62437845788635,128.77591371274636,7749600
2019-05-30,129.01011657714844,129.47853039103524,128.170867094856,128.69784566475946,5274000
2019-05-31,128.85397338867188,129.72249780173496,127.62438154598006,127.80004603242554,7420700
2019-06-03,129.27362060546875,129.74203447277708,128.31727128328677,128.83448167420414,7901400
2019-06-04,131.56690979003906,131.62545965615905,129.71274631613454,130.22995665433675,8247500
